Price,GBPUSD,DXY,Gold_Price,SP500
Ticker,GBPUSD=X,DX-Y.NYB,GC=F,^GSPC
Date,,,,
2021-04-08,1.3743815422058105,92.05999755859375,1756.800048828125,4097.169921875
2021-04-09,1.373437762260437,92.16000366210938,1743.300048828125,4128.7998046875
2021-04-12,1.3712154626846313,92.13999938964844,1731.199951171875,4127.990234375
2021-04-13,1.3753834962844849,91.8499984741211,1746.199951171875,4141.58984375
2021-04-14,1.3759700059890747,91.69000244140625,1734.9000244140625,4124.66015625
2021-04-15,1.3779228925704956,91.66999816894531,1765.4000244140625,4170.419921875
2021-04-16,1.3785498142242432,91.55999755859375,1779.0,4185.47021484375
2021-04-19,1.3818453550338745,91.06999969482422,1769.4000244140625,4163.259765625
2021-04-20,1.3993842601776123,91.23999786376953,1777.300048828125,4134.93994140625
2021-04-21,1.3938837051391602,91.16000366210938,1792.300048828125,4173.419921875
